Title,Authors,Original Price,Selling Price,Discount,Rating_Count,Rating,Category_en
Geography and Environmental Based in 9th-10th Category MCC (Paperback),Joycoli Editors (Editorial),TK. 100,TK. 60,You Save TK. 40,12 Ratings,3.58,Geography (Bangladesh and World) Environment and Disaster Management
9th-10th class information and communication technology (computer) based important MCK (Paperback),Joycoli Editors (Editorial),TK. 120,TK. 60,You Save TK. 60,17 Ratings,4.29,Computer and Information Technology
Passive Income (Hardcover),Ralph Waters,TK. 180,TK. 126,You Save TK. 54,17 Ratings,3.94,Entrepreneur
Love Ahmed (Hardcover),Ahmed Farooq,TK. 200,TK. 120,You Save TK. 80,7 Ratings,4.86,Romantic novel
Forefathers (hardcover),Ashif Antaz Robi,TK. 660,TK. 495,You Save TK. 165,57 Ratings,4.42,Romantic novel
9th 10th grade general science-based important MCK (Paperback),Joycoli Editors (Editorial),TK. 120,TK. 60,You Save TK. 60,17 Ratings,3.76,General science
Tea Coffee and Quantum Mechanics (Hardcover),Naeem Hossain Farooqi,TK. 400,TK. 312,You Save TK. 88,236 Ratings,4.35,Physics
Confessions (Hardcover),Kaushik Zaman (translator),TK. 240,TK. 168,You Save TK. 72,44 Ratings,4.43,"Translation: Mystery, detective, horror, myth, thriller, and adventure"
9th-10th grade-based important MCCQ - Bangladesh and World PaperWorks (Paperback),Joycoli Editors (Editorial),TK. 120,TK. 60,You Save TK. 60,19 Ratings,3.79,Geography (Bangladesh and World) Environment and Disaster Management
Relationships (Paperback),Muslim Matters,TK. 150,TK. 113,You Save TK. 37,11 Ratings,4.27,Personal and Family Life
Islamic banking and financing method: problem and solution (hardcover),Shaikhul Islam Mufti Mufti Muhammad Toki Uthmani,TK. 350,TK. 228,You Save TK. 122,20 Ratings,4.35,Islamic economy and business trade
Autumn composition-3rd chunk (hardcover),Sarat Chandra Chattopadhyay,TK. 400,TK. 220,You Save TK. 180,10 Ratings,4.6,Composite compilation and whole
Bitcoin: Blockcreen technology and other currency (hardcover),Mustafa Tanim,TK. 200,TK. 150,You Save TK. 50,36 Ratings,4.33,"Business and Economics Articles, Research and Statistics"
Nexus (Hardcover),Mohammad Nazim Uddin,TK. 450,TK. 315,You Save TK. 135,58 Ratings,4.47,Thriller and Adventure novels
Why do not pray (Paperback),Professor Maulana Atikur Rahman Bhuiyan,TK. 40,TK. 25,You Save TK. 15,5 Ratings,4.6,The help of Islamic period and period
Autumn composition-4th volume (hardcover),Sarat Chandra Chattopadhyay,TK. 400,TK. 220,You Save TK. 180,8 Ratings,3.88,Composite compilation and whole
Road to Sacs (Hardcover),Satyajit Chakravarti,TK. 200,TK. 160,You Save TK. 40,86 Ratings,4.34,Career development
Dreaming of Mathematics -1: Art of Problems Salaving (Hardcover),Ahmed Jawad Chowdhury,TK. 400,TK. 300,You Save TK. 100,66 Ratings,4.32,Mathematics
Zero to Hero (Paperback) in Spoken English,Saifur Rahman Khan,TK. 550,TK. 385,You Save TK. 165,87 Ratings,3.72,English Grammar and Language Learning
The Art of Thinking Clearley (Hardcover),Ralph Dowblley,TK. 465,TK. 316,You Save TK. 149,21 Ratings,3.29,Translation: self-development and meditation
"Joycoli Question, DU (Category Change) - D Unit (Paperback)",Rafiqul Islam (Editor),TK. 300,TK. 165,You Save TK. 135,34 Ratings,3.82,Humanities Department Admission Guide
Short programming (hardcover) in the story,Moinul Raju,TK. 200,TK. 150,You Save TK. 50,25 Ratings,4.84,Computer programming
Eleklime 'Bengali' Natural Language Processing (Hardcover),Rakibul Hasan,TK. 360,TK. 270,You Save TK. 90,10 Ratings,4.8,Computer programming
Learn in 30 days Malaysian language in modern way,Professor Muhiur Sultana,TK. 150,TK. 60,You Save TK. 90,3 Ratings,3.33,Middle East
The news of the grave before and after mortal (hardcover),Huzatul Islam Imam Ghazali Rah,TK. 300,TK. 150,You Save TK. 150,25 Ratings,3.72,"Death, Hereafter and Paradise-Hell"
Physical Science (1st and II) (Paperback) of Physiology,Mehedi Hassan,TK. 700,TK. 434,You Save TK. 266,61 Ratings,3.92,Preparation of engineering filling
Important autobiography based in Bangabandhu Sheikh Mujibur Rahman is an important MCCQ (Paperback),Joycoli Editors (Editorial),TK. 120,TK. 60,You Save TK. 60,24 Ratings,4.13,Bangladesh Affairs
Prove that ... (Hardcover),Mursalin Habib,TK. 380,TK. 285,You Save TK. 95,31 Ratings,4.16,Mathematics
Restarted Yorkers (Hardcover),Javed Parvez,TK. 360,TK. 270,You Save TK. 90,21 Ratings,4.05,Self Development and Motivation
Return to the details (hardcover),Ripon Imran,TK. 300,TK. 219,You Save TK. 81,NA,NA,Contemporary novel
Benefits of marriage and Shariath Outline (Paperback),Shaikh Muhammad Saleh al-Munajjid,TK. 48,TK. 36,You Save TK. 12,13 Ratings,4.54,Personal and Family Life
Robotics 1 (Hardcover),Mishal Islam,TK. 420,TK. 315,You Save TK. 105,72 Ratings,4.75,"When age 12-17: Mathematics, Science and Technology"
"O youth, come back to the Lord (Paperback)",Shaikh Khalid ar Rashid,TK. 220,TK. 165,You Save TK. 55,14 Ratings,4.86,Islamic Books: Self-Development
"Bible, Injil Sharif and Christian Religion (Paperback)",Dr.Khondaker Abdullah Jahangir,TK. 40,TK. 28,You Save TK. 12,43 Ratings,4.81,Religious articles
Mathematics Bichita: Mathematics-1 Mother and second letter (Paperback),Professor Arun Kumar Nath,TK. 800,TK. 452,You Save TK. 348,57 Ratings,4.21,Mathematics
Easy Quran (3rd chunk) (Hardcover),Asif Sijat Bhuiya,TK. 520,TK. 390,You Save TK. 130,20 Ratings,4.2,Quran and Tafseer
Outliary (Hardcover),Malcolm Gladwell,TK. 320,TK. 224,You Save TK. 96,19 Ratings,3.42,Translation: self-development and meditation
Chemistry Bichita: Chemistry-18th and second letter (Paperback),Md. Snow Hassan,TK. 800,TK. 456,You Save TK. 344,29 Ratings,4.17,Admission guide to the Department of Science
Hajj Spiritual Education (Paperback),Dr.Khondaker Abdullah Jahangir,TK. 40,TK. 28,You Save TK. 12,29 Ratings,4.86,Hajj-Umrah and sacrifice
Chandramukhi (Hardcover),Ashif Antaz Robi,TK. 200,TK. 150,You Save TK. 50,39 Ratings,4.38,Contemporary novel
The way the Prophet (peace be upon him) prayed (Paperback),Mohammad Naser Uddin,TK. 60,TK. 36,You Save TK. 24,14 Ratings,4.29,Salat / Prayer
English Q Bank : MCQ Book (Paperback),Syed Khairul Hassan,TK. 695,TK. 419,You Save TK. 276,33 Ratings,3.73,Exam Preparation
Summary Hisan Muslim - Pocket Size (Paperback),Saeed Ibn Ali al-Qahtani,TK. 125,TK. 75,You Save TK. 50,21 Ratings,4.95,"Dua, Dud and mention"
Robaltis 2 (Hardcover),Mishal Islam,TK. 340,TK. 255,You Save TK. 85,59 Ratings,4.83,"When age 12-17: Mathematics, Science and Technology"
40 advice to form the ideal family (Paperback),Shaikh Muhammad Saleh al-Munajjid,TK. 175,TK. 131,You Save TK. 44,35 Ratings,4.54,Personal and Family Life
Turkmenistan and Turkey (Hardcover),Engineer Hafizur Rahman,TK. 160,TK. 112,You Save TK. 48,2 Ratings,3,Typical and travel
Photos to become flowers (hardcover),Shaikh Ahmad Musa Jibril,TK. 400,TK. 240,You Save TK. 160,15 Ratings,4.2,"Invitation, Tabligh, lecture, discussion and waj"
IELTS Writing Book Task 1 And-2 (Paperback),Syed Khairul Hassan,TK. 250,TK. 198,You Save TK. 52,3 Ratings,4.67,IELTS
Fourth Industrial and Bangladesh (Hardcover),Fayez Ahmad Cube,TK. 640,TK. 480,You Save TK. 160,25 Ratings,4.72,"Business and Economics Articles, Research and Statistics"
Fourjing Grammar (Paperback),Saifur Rahman Khan,TK. 600,TK. 414,You Save TK. 186,42 Ratings,4.21,"Bangla, English and General Knowledge"
Ask and answer (4th chunk) (hardcover),Dr.Khondaker Abdullah Jahangir,TK. 220,TK. 143,You Save TK. 77,19 Ratings,4.53,Islamic Sawal-Jawab
Half life (hardcover),Sunil Gangopadhyay (Nilolit),TK. 500,TK. 390,You Save TK. 110,3 Ratings,4.67,Self-judged
Madhurat (Hardcover),Imdadul Haque Milon,TK. 50,TK. 39,You Save TK. 11,19 Ratings,3.68,Contemporary novel
Elected 100 poems of liberation war (hardcover),Ramshankar Devnath (editor),TK. 160,TK. 112,You Save TK. 48,1 Ratings,5,Rhyme of liberation
Bangladesh 64 District Introduction (Hardcover),Liaquat Hossain Khokan,TK. 500,TK. 390,You Save TK. 110,3 Ratings,5,Context Bangladesh
Fever (hardcover),Salahuddin Shuvro,TK. 230,TK. 173,You Save TK. 57,5 Ratings,4.2,Contemporary novel
Cambridge IELTS Vocabulary English to Bangla (1-16) (Paperback),Mehdi Shamim,TK. 490,TK. 181,You Save TK. 309,24 Ratings,3.79,IELTS
Simple language Python 3 (Hardcover),Maksudur Rahman Matin,TK. 500,TK. 375,You Save TK. 125,88 Ratings,4.74,Computer programming
Modern and secret Masala of men and women),Mufti Abdul Lord Kasemi,TK. 270,TK. 162,You Save TK. 108,7 Ratings,4.57,Personal and Family Life
Allah loves Tauboler (Paperback),Shaikh Nabil Ibn Nasir As-Sanani,TK. 234,TK. 176,You Save TK. 58,3 Ratings,4.67,"Faith, Akbida and Taosa"
Mathematical Dreaming 2: First Step of Mathematics Olympiad (Hardcover),Ahmed Jawad Chowdhury,TK. 460,TK. 345,You Save TK. 115,48 Ratings,4.31,Mathematics
Finman Diagram,Shakibul Islam,TK. 180,TK. 135,You Save TK. 45,5 Ratings,2.8,Physics
Land Purchase-Sales and Nausir Rules (Hardcover),Janendra Nath Government,TK. 450,TK. 248,You Save TK. 202,12 Ratings,3.5,Miscellaneous books related to law
Facebook Marketing (Hardcover),Md.Ikram,TK. 340,TK. 255,You Save TK. 85,4 Ratings,4.75,"Branding, Marketing & Singing"
Hours (hardcover),Hazrat Maulana Mufti Muhammad Shafi (RA),TK. 490,TK. 294,You Save TK. 196,8 Ratings,4.5,"Death, Hereafter and Paradise-Hell"
Nurani Quran Sharif (30 chunk set) (Paperback),(Hakimul Ummat Maulana Ashraf Ali Thanvi Rah.),"TK. 1,250",TK. 800,You Save TK. 450,13 Ratings,4.46,Nurani Quran
In the country of poetry (hardcover) in the country,Sunil Gangopadhyay (Nilolit),TK. 450,TK. 351,You Save TK. 99,9 Ratings,4,Typical and travel
Zakat's Masayel (Hardcover),Mufti Shabbir Ahmad,TK. 140,TK. 84,You Save TK. 56,1 Ratings,5,Zakat
Bangladesh: 50 years of economy (hardcover),Fayez Ahmad Cube,TK. 600,TK. 450,You Save TK. 150,7 Ratings,4.43,Economy: Respect Bangladesh
Important MCP (Paperback) of 9th-10th grade and citizenship based,Joycoli Editors (Editorial),TK. 120,TK. 60,You Save TK. 60,13 Ratings,4.54,General science
Microtic Router: Networking and Security (Hardcover),Titas Sarkar,TK. 300,TK. 225,You Save TK. 75,34 Ratings,4.09,Networking
Cooking Studio (Soules Matt Paper),Ummi Selim,TK. 700,TK. 525,You Save TK. 175,12 Ratings,4.17,Recipe
ATM one drawn memorization (paperback),Md. Abu Bakr Siddique,TK. 250,TK. 163,You Save TK. 87,24 Ratings,4.63,Preparation of admission test
Irene (Hardcover),Pierre Lemayet,TK. 340,TK. 238,You Save TK. 102,16 Ratings,4.44,"Mystery, detective, horror, myth, thriller, and adventure: translation"
Bangabandhu Sheikh Mujibur Rahman jail-based important MCCQ (Paperback),Joycoli Editors (Editorial),TK. 100,TK. 60,You Save TK. 40,19 Ratings,4.58,Bangladesh Affairs
In light of the Prophet: Enjoy Life (Hardcover),Dr.Muhammad ibn Abdur Rahman Arifi,TK. 480,TK. 288,You Save TK. 192,30 Ratings,4.9,Personal and Family Life
Taikiratul Awlia (1-3 chunks together),Maulana Farid Uddin Attar,TK. 450,TK. 315,You Save TK. 135,3 Ratings,3.67,"Prophet Messenger, Sahaba, Tabee and Oli-Awlia"
Career in IT (Hardcover),Titas Sarkar,TK. 340,TK. 255,You Save TK. 85,12 Ratings,5,Operating system
La-Tahman (Hardcover),Dr.Ayia al-Khan,TK. 600,TK. 360,You Save TK. 240,12 Ratings,4.75,Islamic Books: Self-Development
Sahih Bukhari Sharif (1 to 10 chunks together) (Offset),Imam Muhammad ibn Ismail Bukhari (R),"TK. 1,200",TK. 696,You Save TK. 504,29 Ratings,4.38,Hadith and Sunnat
ICT Section (Paperback),Joykli Publications Ltd. (Editor),TK. 200,TK. 106,You Save TK. 94,20 Ratings,3.6,University Admission Guide
Murberry is her saint (hardcover),Suspend Sumon,TK. 200,TK. 140,You Save TK. 60,6 Ratings,3.17,Thriller
Women's Lighting Explorers (Hardcover),Nazmul Shamim,TK. 200,TK. 120,You Save TK. 80,NA,NA,Woman
Common mistakes (hardcover),Maulana Muhammad Abdul Malek,TK. 220,TK. 139,You Save TK. 81,64 Ratings,4.72,The help of Islamic period and period
Male (hardcover),Rokeya Lita,TK. 300,TK. 225,You Save TK. 75,9 Ratings,3.56,Contemporary novel
Last hit (4th chunk) (hardcover),Enayetullah ultamash,TK. 200,TK. 120,You Save TK. 80,1 Rating,5,Islamic novel
Postmaster (Hardcover),Rabindranath Tagore,TK. 80,TK. 60,You Save TK. 20,10 Ratings,4,Classical story
Caste Books My Bengali Language and Freedom (Paperback),Anik Kumar Kund,TK. 100,TK. 60,You Save TK. 40,NA,NA,Children-teenagers: History and Politics
